Functional_Annotation,L1_Category,L1_Description,Count,Percentage
NULL,No annotation,No functional annotation found,96,44.65%
trna,protein synthesis,component of protein synthesis translational machinery,31,14.42%
ribosomalrna,protein synthesis,component of protein synthesis translational machinery,24,11.16%
nazyme,catalytic,"nucleic acid enzyme, ribozyme or dnazyme",9,4.19%
vitaminswitch,riboswitch,natural or synthetic cis-acting gene expression-modulating mRNA element that responds to binding by a molecular effector,8,3.72%
purineswitch,riboswitch,natural or synthetic cis-acting gene expression-modulating mRNA element that responds to binding by a molecular effector,7,3.26%
codingrna,Unknown Category,,6,2.79%
srprna,translation regulating,mRNA element or RNA complex component that regulates protein synthesis,5,2.33%
rnaires,translation regulating,mRNA element or RNA complex component that regulates protein synthesis,4,1.86%
snrna,post-transcriptional processing,nucleic acid involved in processing RNA transcripts,4,1.86%
snorna,post-transcriptional processing,nucleic acid involved in processing RNA transcripts,3,1.40%
aaswitch,riboswitch,natural or synthetic cis-acting gene expression-modulating mRNA element that responds to binding by a molecular effector,2,0.93%
hammerhead,catalytic,"nucleic acid enzyme, ribozyme or dnazyme",2,0.93%
selfreplicating,catalytic,"nucleic acid enzyme, ribozyme or dnazyme",2,0.93%
tmrna,translation regulating,mRNA element or RNA complex component that regulates protein synthesis,2,0.93%
virusna,virus NA,nucleic acid associated with virus infectivity or replication,2,0.93%
7sksnrna,transcription regulating,mRNA element or RNA complex component that regulates transcription,1,0.47%
aptamer,aptamer,domain within a riboswitch--or synthetic RNA or DNA--that changes structure in response to binding by a molecular effector,1,0.47%
fluoroaptamer,aptamer,domain within a riboswitch--or synthetic RNA or DNA--that changes structure in response to binding by a molecular effector,1,0.47%
group1intron,catalytic,"nucleic acid enzyme, ribozyme or dnazyme",1,0.47%
hairpin,catalytic,"nucleic acid enzyme, ribozyme or dnazyme",1,0.47%
hivtar,transcription regulating,mRNA element or RNA complex component that regulates transcription,1,0.47%
translatemod,translation regulating,mRNA element or RNA complex component that regulates protein synthesis,1,0.47%
vsribozyme,catalytic,"nucleic acid enzyme, ribozyme or dnazyme",1,0.47%
