L1_Category,L1_Description,Count,Percentage,Number_of_Annotations
No annotation,No functional annotation found,96,44.65%,1
protein synthesis,component of protein synthesis translational machinery,55,25.58%,2
riboswitch,natural or synthetic cis-acting gene expression-modulating mRNA element that responds to binding by a molecular effector,17,7.91%,3
catalytic,"nucleic acid enzyme, ribozyme or dnazyme",16,7.44%,6
translation regulating,mRNA element or RNA complex component that regulates protein synthesis,12,5.58%,4
post-transcriptional processing,nucleic acid involved in processing RNA transcripts,7,3.26%,2
Unknown Category,,6,2.79%,1
virus NA,nucleic acid associated with virus infectivity or replication,2,0.93%,1
transcription regulating,mRNA element or RNA complex component that regulates transcription,2,0.93%,2
aptamer,domain within a riboswitch--or synthetic RNA or DNA--that changes structure in response to binding by a molecular effector,2,0.93%,2
