Clan_Accession,Clan_Description,Count,Percentage,Number_of_Families
No_Clan,Families without clan assignment,106,21.24%,12
CL00006,U2 clan,102,20.44%,2
CL00009,U6 clan,93,18.64%,1
CL00123,Purine riboswitches,58,11.62%,1
CL00102,Group II catalytic intron D1-D4 clan,52,10.42%,1
CL00012,SAM clan,35,7.01%,3
CL00003,SRP clan,29,5.81%,4
CL00007,U4 clan,14,2.81%,1
CL00101,Cobalamin clan,4,0.80%,1
CL00127,c-di-GMP_II riboswitch clan,2,0.40%,1
CL00112,LSU clan,2,0.40%,1
CL00005,U1 clan,2,0.40%,2
