RFAM_Family,Description,Clan_Accession,Clan_Description,Count,Percentage
RF00004,U2 spliceosomal RNA,CL00006,U2 clan,101,20.24%
RF00026,U6 spliceosomal RNA,CL00009,U6 clan,93,18.64%
RF00167,Purine riboswitch aptamer,CL00123,Purine riboswitches,58,11.62%
RF02001,Group II catalytic intron D1-D4-3,CL00102,Group II catalytic intron D1-D4 clan,52,10.42%
RF00162,SAM riboswitch aptamer (S box leader),CL00012,SAM clan,29,5.81%
RF00020,U5 spliceosomal RNA,,,27,5.41%
RF00379,c-di-AMP riboswitch aptamer (ydaO/yuaA leader),,,16,3.21%
RF00234,glmS glucosamine-6-phosphate activated ribozyme aptamer,,,15,3.01%
RF00015,U4 spliceosomal RNA,CL00007,U4 clan,14,2.81%
RF00017,Metazoan signal recognition particle RNA,CL00003,SRP clan,13,2.61%
RF01763,Guanidine-III riboswitch aptamer (yKKC-III),,,13,2.61%
RF00169,Bacterial small signal recognition particle RNA,CL00003,SRP clan,11,2.20%
RF00442,Guanidine-I riboswitch aptamer,,,10,2.00%
RF02679,Pistol ribozyme,,,8,1.60%
RF02796,Pab160 RNA,,,6,1.20%
RF00634,SAM (S-adenosyl methionine) riboswitch aptamer,CL00012,SAM clan,4,0.80%
RF01689,AdoCbl-II (Cobalamin/B12) riboswitch aptamer,CL00101,Cobalamin clan,4,0.80%
RF01854,Bacterial large signal recognition particle RNA,CL00003,SRP clan,4,0.80%
RF00029,Group II catalytic intron,,,3,0.60%
RF00380,M-box riboswitch aptamer (ykoK leader),,,3,0.60%
RF02678,Hatchet ribozyme,,,3,0.60%
RF01725,SAM-I/IV (S-adenosyl methionine) riboswitch aptamer,CL00012,SAM clan,2,0.40%
RF01786,Cyclic di-GMP-II riboswitch aptamer,CL00127,c-di-GMP_II riboswitch clan,2,0.40%
RF02540,Archaeal large subunit ribosomal RNA,CL00112,LSU clan,2,0.40%
RF00003,U1 spliceosomal RNA,CL00005,U1 clan,1,0.20%
RF00007,U12 minor spliceosomal RNA,CL00006,U2 clan,1,0.20%
RF00548,U11 spliceosomal RNA,CL00005,U1 clan,1,0.20%
RF01727,SAM/SAH riboswitch aptamer,,,1,0.20%
RF01826,SAM-V (S-adenosyl methionine) riboswitch aptamer,,,1,0.20%
RF01857,Archaeal signal recognition particle RNA,CL00003,SRP clan,1,0.20%
