Functional_Annotation,L1_Category,L1_Description,Count,Percentage
snrna,post-transcriptional processing,nucleic acid involved in processing RNA transcripts,232,39.59%
purineswitch,riboswitch,natural or synthetic cis-acting gene expression-modulating mRNA element that responds to binding by a molecular effector,99,16.89%
codingrna,Unknown Category,,85,14.51%
group2intron,catalytic,"nucleic acid enzyme, ribozyme or dnazyme",55,9.39%
vitaminswitch,riboswitch,natural or synthetic cis-acting gene expression-modulating mRNA element that responds to binding by a molecular effector,39,6.66%
srprna,translation regulating,mRNA element or RNA complex component that regulates protein synthesis,27,4.61%
glmsribozyme,catalytic,"nucleic acid enzyme, ribozyme or dnazyme",15,2.56%
nazyme,catalytic,"nucleic acid enzyme, ribozyme or dnazyme",11,1.88%
NULL,No annotation,No functional annotation found,6,1.02%
ribosomalrna,protein synthesis,component of protein synthesis translational machinery,6,1.02%
snorna,post-transcriptional processing,nucleic acid involved in processing RNA transcripts,6,1.02%
ionswitch,riboswitch,natural or synthetic cis-acting gene expression-modulating mRNA element that responds to binding by a molecular effector,5,0.85%
