Clan_Accession,Clan_Description,Count,Percentage,Number_of_Families
No_Clan,Families without clan assignment,1719,62.99%,87
CL00001,tRNA clan,252,9.23%,3
CL00112,LSU clan,180,6.60%,5
CL00111,SSU clan,125,4.58%,5
CL00113,5S rRNA clan,107,3.92%,1
CL00009,U6 clan,56,2.05%,1
CL00100,U3 clan,47,1.72%,2
CL00006,U2 clan,44,1.61%,2
CL00123,Purine riboswitches,26,0.95%,2
CL00012,SAM clan,26,0.95%,3
CL00003,SRP clan,24,0.88%,4
CL00005,U1 clan,14,0.51%,3
CL00002,RNaseP clan,13,0.48%,4
CL00148,let-7 microRNA precursor clan,10,0.37%,1
CL00126,c-di-GMP_I riboswitch clan,8,0.29%,2
CL00010,Hammerhead clan,8,0.29%,2
CL00116,Coronavirus 5' UTR,8,0.29%,2
CL00013,7SK clan,7,0.26%,1
CL00125,Glycine riboswitch clan,7,0.26%,1
CL00017,IRES1 clan,7,0.26%,2
CL00004,Telomerase clan,6,0.22%,1
CL00101,Cobalamin clan,6,0.22%,2
CL00007,U4 clan,5,0.18%,1
CL00011,Glm clan,4,0.15%,1
CL00129,Flavivirus 5' UTR clan,4,0.15%,1
CL00102,Group II catalytic intron D1-D4 clan,3,0.11%,1
CL00120,twister ribozyme,3,0.11%,1
CL00085,mir-15 clan,3,0.11%,2
CL00117,Coronavirus 3' UTR,1,0.04%,1
CL00106,Csr-Rsm protein binding clan,1,0.04%,1
CL00133,mir-31 microRNA precursor family,1,0.04%,1
CL00104,Hepadnavirus_epsilon clan,1,0.04%,1
CL00014,CRISPR-1 clan,1,0.04%,1
CL00127,c-di-GMP_II riboswitch clan,1,0.04%,1
CL00122,NiCo_riboswitches,1,0.04%,1
