RFAM_Family,Description,Clan_Accession,Clan_Description,Count,Percentage
NULL,No RFAM family,,,1466,53.72%
RF00005,tRNA,CL00001,tRNA clan,238,8.72%
RF00001,5S ribosomal RNA,CL00113,5S rRNA clan,107,3.92%
RF00002,5.8S ribosomal RNA,CL00112,LSU clan,91,3.33%
RF01960,Eukaryotic small subunit ribosomal RNA,CL00111,SSU clan,78,2.86%
RF00026,U6 spliceosomal RNA,CL00009,U6 clan,56,2.05%
RF00004,U2 spliceosomal RNA,CL00006,U2 clan,42,1.54%
RF01846,Fungal small nucleolar RNA U3,CL00100,U3 clan,39,1.43%
RF02348,Trans-activating crRNA,,,36,1.32%
RF02540,Archaeal large subunit ribosomal RNA,CL00112,LSU clan,32,1.17%
RF00177,Bacterial small subunit ribosomal RNA,CL00111,SSU clan,31,1.14%
RF02541,Bacterial large subunit ribosomal RNA,CL00112,LSU clan,28,1.03%
RF00167,Purine riboswitch aptamer,CL00123,Purine riboswitches,24,0.88%
RF02543,Eukaryotic large subunit ribosomal RNA,CL00112,LSU clan,24,0.88%
RF00162,SAM riboswitch aptamer (S box leader),CL00012,SAM clan,23,0.84%
RF00379,c-di-AMP riboswitch aptamer (ydaO/yuaA leader),,,13,0.48%
RF00169,Bacterial small signal recognition particle RNA,CL00003,SRP clan,12,0.44%
RF01852,Selenocysteine transfer RNA,CL00001,tRNA clan,12,0.44%
RF00020,U5 spliceosomal RNA,,,10,0.37%
RF00027,let-7 microRNA precursor,CL00148,let-7 microRNA precursor clan,10,0.37%
RF00442,Guanidine-I riboswitch aptamer,,,10,0.37%
RF00548,U11 spliceosomal RNA,CL00005,U1 clan,9,0.33%
RF00012,Small nucleolar RNA U3,CL00100,U3 clan,8,0.29%
RF00028,Group I catalytic intron,,,8,0.29%
RF00386,Enterovirus 5' cloverleaf cis-acting replication element,,,8,0.29%
RF00017,Metazoan signal recognition particle RNA,CL00003,SRP clan,7,0.26%
RF00100,7SK RNA,CL00013,7SK clan,7,0.26%
RF00504,Glycine riboswitch aptamer,CL00125,Glycine riboswitch clan,7,0.26%
RF00024,Vertebrate telomerase RNA,CL00004,Telomerase clan,6,0.22%
RF00059,TPP riboswitch aptamer (THI element),,,6,0.22%
RF00061,Hepatitis C virus internal ribosome entry site,CL00017,IRES1 clan,6,0.22%
RF02542,Microsporidia small subunit ribosomal RNA,CL00111,SSU clan,6,0.22%
RF02545,Trypanosomatid mitochondrial small subunit ribosomal RNA,CL00111,SSU clan,6,0.22%
RF03022,RT-10 RNA,,,6,0.22%
RF03167,c-di-GMP-I-GGC riboswitch aptamer,CL00126,c-di-GMP_I riboswitch clan,6,0.22%
RF00008,Hammerhead ribozyme (type III),CL00010,Hammerhead clan,5,0.18%
RF00015,U4 spliceosomal RNA,CL00007,U4 clan,5,0.18%
RF00030,RNase MRP,CL00002,RNaseP clan,5,0.18%
RF00207,K10 transport/localisation element (TLS),,,5,0.18%
RF00234,glmS glucosamine-6-phosphate activated ribozyme aptamer,,,5,0.18%
RF01684,MALAT1-associated small cytoplasmic RNA/MEN beta RNA,,,5,0.18%
RF01750,ZMP/ZTP riboswitch aptamer (pfl RNA motif),,,5,0.18%
RF02546,Trypanosomatid mitochondrial large subunit ribosomal RNA,CL00112,LSU clan,5,0.18%
RF02680,PreQ1-III (pre queuosine) riboswitch aptamer,,,5,0.18%
RF00029,Group II catalytic intron,,,4,0.15%
RF00050,FMN riboswitch aptamer (RFN element),,,4,0.15%
RF00080,Manganese Mn2+ riboswitch aptamer (yybP-ykoY),,,4,0.15%
RF00083,GlmZ RNA activator of glmS mRNA,CL00011,Glm clan,4,0.15%
RF00174,Cobalamin riboswitch aptamer,CL00101,Cobalamin clan,4,0.15%
RF00458,Cripavirus internal ribosome entry site (IRES),,,4,0.15%
RF01344,CRISPR RNA direct repeat element,,,4,0.15%
RF01807,GIR1 branching ribozyme,,,4,0.15%
RF01959,Archaeal small subunit ribosomal RNA,CL00111,SSU clan,4,0.15%
RF02340,Dengue virus SLA,CL00129,Flavivirus 5' UTR clan,4,0.15%
RF02359,Bacteriophage MS2 operator hairpin,,,4,0.15%
RF03013,nadA riboswitch,,,4,0.15%
RF03016,RT-12 RNA,,,4,0.15%
RF03117,Betacoronavirus 5'UTR,CL00116,Coronavirus 5' UTR,4,0.15%
RF03120,Sarbecovirus 5'UTR,CL00116,Coronavirus 5' UTR,4,0.15%
RF00010,Bacterial RNase P class A,CL00002,RNaseP clan,3,0.11%
RF00011,Bacterial RNase P class B,CL00002,RNaseP clan,3,0.11%
RF00094,Hepatitis delta virus ribozyme,,,3,0.11%
RF00163,Hammerhead ribozyme (type I),CL00010,Hammerhead clan,3,0.11%
RF00230,T-box leader,,,3,0.11%
RF00233,Tymovirus/Pomovirus/Furovirus tRNA-like 3' UTR element,,,3,0.11%
RF00250,Trans-activation response element (TAR),,,3,0.11%
RF00488,Yeast U1 spliceosomal RNA,CL00005,U1 clan,3,0.11%
RF00507,Coronavirus frameshifting stimulation element,,,3,0.11%
RF00522,PreQ1 (pre queuosine) riboswitch aptamer,,,3,0.11%
RF01763,Guanidine-III riboswitch aptamer (yKKC-III),,,3,0.11%
RF01831,THF (Tetrahydrofolate) riboswitch aptamer,,,3,0.11%
RF01857,Archaeal signal recognition particle RNA,CL00003,SRP clan,3,0.11%
RF02001,Group II catalytic intron D1-D4-3,CL00102,Group II catalytic intron D1-D4 clan,3,0.11%
RF02977,THF-II riboswitch (folE RNA),,,3,0.11%
RF03160,type-P1 twister ribozyme,CL00120,twister ribozyme,3,0.11%
RF00003,U1 spliceosomal RNA,CL00005,U1 clan,2,0.07%
RF00007,U12 minor spliceosomal RNA,CL00006,U2 clan,2,0.07%
RF00023,transfer-messenger RNA,CL00001,tRNA clan,2,0.07%
RF00044,3WJ core of Phi29 Bacteriophage pRNA,,,2,0.07%
RF00075,mir-166 microRNA precursor,,,2,0.07%
RF00168,Lysine riboswitch aptamer,,,2,0.07%
RF00175,Human immunodeficiency virus type 1 dimerisation initiation site,,,2,0.07%
RF00373,Archaeal RNase P,CL00002,RNaseP clan,2,0.07%
RF00374,Gammaretrovirus core encapsidation signal,,,2,0.07%
RF00455,mir-15 microRNA precursor family,CL00085,mir-15 clan,2,0.07%
RF00622,Mammalian CPEB3 ribozyme,,,2,0.07%
RF01051,c-di-GMP-I riboswitch aptamer,CL00126,c-di-GMP_I riboswitch clan,2,0.07%
RF01510,2dG-I riboswitch aptamer (M. florum),CL00123,Purine riboswitches,2,0.07%
RF01689,AdoCbl-II (Cobalamin/B12) riboswitch aptamer,CL00101,Cobalamin clan,2,0.07%
RF01725,SAM-I/IV (S-adenosyl methionine) riboswitch aptamer,CL00012,SAM clan,2,0.07%
RF01734,Fluoride riboswitch aptamer (crcB RNA motif),,,2,0.07%
RF01854,Bacterial large signal recognition particle RNA,CL00003,SRP clan,2,0.07%
RF02678,Hatchet ribozyme,,,2,0.07%
RF02679,Pistol ribozyme,,,2,0.07%
RF02796,Pab160 RNA,,,2,0.07%
RF02885,SAM-VI (S-adenosyl methionine) riboswitch aptamer,,,2,0.07%
RF03072,raiA RNA,,,2,0.07%
RF04190,Hairpin ribozyme 1 from viruses-like metatranscriptomes,,,2,0.07%
RF00013,6S / SsrS RNA,,,1,0.04%
RF00032,Histone 3' UTR stem-loop,,,1,0.04%
RF00036,HIV Rev response element,,,1,0.04%
RF00037,Iron response element I,,,1,0.04%
RF00102,VA RNA,,,1,0.04%
RF00164,Coronavirus 3' stem-loop II-like motif (s2m),CL00117,Coronavirus 3' UTR,1,0.04%
RF00166,PrrB/RsmZ RNA family,CL00106,Csr-Rsm protein binding clan,1,0.04%
RF00209,Pestivirus internal ribosome entry site (IRES),CL00017,IRES1 clan,1,0.04%
RF00210,Aphthovirus internal ribosome entry site (IRES),,,1,0.04%
RF00228,Hepatitis A virus internal ribosome entry site (IRES),,,1,0.04%
RF00254,mir-16 microRNA precursor family,CL00085,mir-15 clan,1,0.04%
